,Lemma,Word list,Total F,Coverage,Cumulative,Unnamed: 5,67205779
345,mind,1 - NGSL,19095,0.0002840288249021718,0.7914913002238646,,
346,cause,1 - NGSL,19071,0.0002836718365912186,0.7917749720604558,,
347,game,1 - NGSL,19031,0.00028307685607296317,0.7920580489165288,,
348,policy,1 - NGSL,19029,0.0002830471070470504,0.7923410960235758,,
349,clear,1 - NGSL,18981,0.00028233313042514395,0.792623429154001,,
350,moment,1 - NGSL,18880,0.00028083080461654904,0.7929042599586175,,
351,music,1 - NGSL,18807,0.00027974496517073295,0.7931840049237882,,
352,everybody,1 - NGSL,18662,0.00027758816079205713,0.7934615930845802,,
353,grow,1 - NGSL,18608,0.0002767849370924123,0.7937383780216726,,
354,situation,1 - NGSL,18586,0.00027645769780737186,0.79401483571948,,
355,election,1 - NGSL,18580,0.00027636845072963356,0.7942912041702096,,
356,across,1 - NGSL,18372,0.00027327455203470544,0.7945644787222443,,
357,military,1 - NGSL,18357,0.0002730514343403597,0.7948375301565846,,
358,wait,1 - NGSL,18339,0.0002727836931071447,0.7951103138496918,,
359,experience,1 - NGSL,18277,0.0002718614733038489,0.7953821753229956,,
360,power,1 - NGSL,18226,0.00027110287314307326,0.7956532781961386,,
361,walk,1 - NGSL,18212,0.0002708946299616838,0.7959241728261003,,
362,face,1 - NGSL,18140,0.00026982366502882415,0.7961939964911291,,
363,less,1 - NGSL,18138,0.0002697939160029114,0.796463790407132,,
364,sound,1 - NGSL,18123,0.0002695707983085656,0.7967333612054406,,
365,water,1 - NGSL,18102,0.0002692584335364815,0.7970026196389771,,
366,cut,1 - NGSL,18072,0.00026881219814778995,0.7972714318371249,,
367,true,1 - NGSL,18065,0.00026870807655709523,0.797540139913682,,
368,anyway,1 - NGSL,17981,0.0002674586174687589,0.7978075985311508,,
369,either,1 - NGSL,17819,0.00026504894636982456,0.7980726474775206,,
370,decide,1 - NGSL,17808,0.0002648853267273043,0.7983375328042479,,
